sub,ses,task,edf_start,edf_duration_s,edf_n_signals,edf_fs,json_fs,json_duration_s,n_events,first_event_s,last_event_s,ecg_exists,button_exists,ecg_fs,ecg_duration_s,ecg_start_declared
sub-015,ses-02,nbackarithmetic,2024-02-12 09:43:29,215.999784,33,250.00025000025002,250.00023550841792,215.99978399999998,73,25.0,203.5,True,True,1999.9037505814665,215.0003468291834,0.0
sub-015,ses-03,full,2024-02-12 12:03:17,215.999784,33,250.00025000025002,250.00027916425347,215.99978399999998,73,25.0,203.5,True,False,1377.588184276836,215.00039226561785,0.0
sub-015,ses-03,mentalarithmetic,2024-02-12 08:48:02,215.999784,33,250.00025000025002,250.00027916425347,215.99978399999998,73,25.0,203.5,True,False,1377.588184276836,215.00039226561785,0.0
sub-015,ses-03,motorimagery,2023-12-15 12:14:09,215.999784,33,250.00025000025002,250.00027916425347,215.99978399999998,19,25.0,198.0,False,False,,,
sub-015,ses-03,nback,2023-12-12 16:41:58,215.999784,33,250.00025000025002,250.00027916425347,215.99978399999998,121,25.0,204.5,True,False,1377.588184276836,215.00039226561785,0.0
sub-015,ses-03,nbackarithmetic,2024-02-12 09:44:18,215.999784,33,250.00025000025002,250.00027916425347,215.99978399999998,73,25.0,203.5,True,True,1377.588184276836,215.00039226561785,0.0
sub-016,ses-01,activemotor,2024-02-14 16:13:25,215.999568,33,250.00050000099998,250.0004683397171,215.999568,19,25.0,199.0,True,False,1823.2380768024193,215.00044617732055,0.0
sub-016,ses-01,full,2024-02-12 12:03:45,215.999568,33,250.00050000099998,250.0004683397171,215.999568,73,25.0,203.5,True,False,1823.2380768024193,215.00044617732055,0.0
sub-016,ses-01,mentalarithmetic,2024-02-12 08:48:30,215.999568,33,250.00050000099998,250.0004683397171,215.999568,73,25.0,203.5,True,False,1823.2380768024193,215.00044617732055,0.0
sub-016,ses-01,motorimagery,2023-12-15 12:15:32,215.999568,33,250.00050000099998,250.0004683397171,215.999568,19,25.0,200.0,True,False,1823.2380768024193,215.00044617732055,0.0
sub-016,ses-01,nback,2023-12-12 16:55:34,215.999568,33,250.00050000099998,250.0004683397171,215.999568,121,25.0,204.5,True,True,1823.2380768024193,215.00044617732055,0.0
sub-016,ses-01,nbackarithmetic,2024-02-12 09:44:47,215.999568,33,250.00050000099998,250.0004683397171,215.999568,73,25.0,203.5,True,True,1823.2380768024193,215.00044617732055,0.0
sub-016,ses-01,passivemotor,2024-02-19 13:23:21,215.999568,33,250.00050000099998,250.0004683397171,215.999568,19,25.0,194.0,True,False,1823.2380768024193,215.00044617732055,0.0
sub-016,ses-02,activemotor,2024-02-14 16:14:00,215.0,33,250.0,249.99991536608968,215.0,19,25.0,197.0,True,False,1802.0163839989796,215.0002649477683,0.0
sub-016,ses-02,full,2024-02-12 12:04:12,215.0,33,250.0,249.99991536608968,215.0,73,25.0,203.5,True,False,1802.0163839989796,215.0002649477683,0.0
sub-016,ses-02,mentalarithmetic,2024-02-12 08:48:57,215.0,33,250.0,249.99991536608968,215.0,73,25.0,203.5,True,False,1802.0163839989796,215.0002649477683,0.0
sub-016,ses-02,motorimagery,2023-12-19 16:26:47,215.0,33,250.0,249.99991536608968,215.0,19,25.0,198.0,True,False,1802.0163839989796,215.0002649477683,0.0
sub-016,ses-02,nback,2023-12-12 16:57:17,215.0,33,250.0,249.99991536608968,215.0,121,25.0,204.5,True,True,1802.0163839989796,215.0002649477683,0.0
sub-016,ses-02,nbackarithmetic,2024-02-12 09:45:15,215.0,33,250.0,249.99991536608968,215.0,73,25.0,203.5,True,True,1802.0163839989796,215.0002649477683,0.0
sub-016,ses-02,passivemotor,2024-02-19 13:24:21,215.0,33,250.0,249.99991536608968,215.0,19,25.0,194.0,True,False,1802.0163839989796,215.0002649477683,0.0
sub-016,ses-03,activemotor,2024-02-14 16:14:34,215.999568,33,250.00050000099998,250.00055565156606,215.999568,19,25.0,199.0,True,False,1793.024266753946,215.00043649598956,0.0
