sub,ses,task,eeg_fs,n_bins,eeg_ok_bins,eeg_std_uV_median,ecg_beats,ecg_coverage,hr_file,rmssd_file,clock_source
sub-011,ses-01,passivemotor,250.00025000025002,21,0,7357.372431932285,199,0.9880957014146996,55.92144160928192,88.24331133904438,declared_unverified
sub-011,ses-02,activemotor,250.00025000025002,21,0,7337.683730890944,208,0.9987319621000266,58.12020832001422,79.9856138447384,declared_unverified
sub-011,ses-02,full,250.00025000025002,21,0,7356.927171097874,210,0.9918928325435478,59.08365025595346,87.43781336421668,declared_unverified
sub-011,ses-02,mentalarithmetic,250.00025000025002,21,0,7357.18341197631,207,0.9910653222057532,58.28822645756658,85.545724902347,declared_unverified
sub-011,ses-02,motorimagery,250.00025000025002,21,0,7359.823900374199,208,0.9951103874452079,58.331729248787695,106.31830375739096,declared_unverified
sub-011,ses-02,nback,250.00025000025002,21,0,7366.50965243887,201,0.9870543309213841,55.98051736435926,101.0386175105402,declared_unverified
sub-011,ses-02,nbackarithmetic,250.00025000025002,21,0,7322.642910315147,211,0.9603817256511168,60.441081023023294,76.94585840860461,event_matched
sub-011,ses-02,passivemotor,250.00025000025002,21,0,7335.261185275217,205,0.9974906965933347,57.35321704159592,90.30625851967251,declared_unverified
sub-011,ses-03,activemotor,250.00050000099998,21,0,7352.176548149948,204,0.987107641004109,57.391057505462605,98.49490094821643,declared_unverified
sub-011,ses-03,full,250.00050000099998,21,0,7356.843845713517,214,0.9831079031228536,59.895469146477645,84.73051556441135,declared_unverified
sub-011,ses-03,mentalarithmetic,250.00050000099998,21,0,7344.158688913368,204,0.9944809442099668,57.246165883500495,97.13048063643848,declared_unverified
sub-011,ses-03,motorimagery,250.00050000099998,21,0,7356.035375778284,212,0.9978156771279552,59.29229230063708,75.72230518214047,declared_unverified
sub-011,ses-03,nback,250.00050000099998,21,0,7357.346776710144,210,0.9828967519118893,59.62441045194456,75.41364972142173,event_matched
sub-011,ses-03,nbackarithmetic,250.00050000099998,21,0,7357.29745787917,180,0.9759141997975861,51.472299552591906,142.4381550067381,event_matched
sub-011,ses-03,passivemotor,250.00050000099998,21,0,7352.318646964974,213,0.9937819608909125,59.813772880738945,59.01941597924137,declared_unverified
sub-012,ses-01,motorimagery,249.99975000025003,21,0,7367.668278863193,292,0.9963809997836973,81.7842886920788,20.738702888389287,declared_unverified
sub-012,ses-01,nback,249.99975000025003,21,0,7364.111470407013,308,0.996513572413729,86.25414310735863,14.544360172140674,declared_unverified
sub-012,ses-01,passivemotor,249.99975000025003,21,0,7359.594643325693,0,,,,declared_unverified
sub-012,ses-02,motorimagery,250.00075000225,21,0,7356.5257993354,294,0.9959278690964567,82.38188113408933,19.018020077395946,declared_unverified
sub-012,ses-02,nback,250.00075000225,21,0,7349.619987453796,295,0.996716248523242,82.59670781759516,15.630921954451056,declared_unverified
sub-012,ses-02,passivemotor,250.00075000225,21,0,7356.260756394993,0,,,,declared_unverified
sub-012,ses-03,motorimagery,250.00050000099998,21,0,7361.170905166975,287,0.9963131217972426,80.38935081952157,16.891615703048146,declared_unverified
sub-012,ses-03,nback,250.00050000099998,21,0,7342.813243728481,301,0.9976064368008597,84.20148054545903,14.40514065784953,declared_unverified
sub-013,ses-01,nback,250.00050000099998,21,0,7344.676533724753,249,0.9799923682949189,70.90691458072823,52.66626802093141,event_matched
sub-013,ses-01,passivemotor,250.00050000099998,21,0,7345.146606320953,250,0.9950440451759713,70.11479009813968,55.246709072173026,declared_unverified
sub-013,ses-02,motorimagery,250.00050000099998,21,0,7345.670874795387,254,0.9968349650382151,71.108718697574,64.06372691309559,declared_unverified
sub-013,ses-02,nback,250.00050000099998,21,0,7354.3952360339445,270,0.9945762176205537,75.75967335756434,48.92946115312561,declared_unverified
